0,5.1,3.5,1.4,0.2,0,Iris-Setosa
1,4.9,3.0,1.4,0.2,0,Iris-Setosa
2,4.7,3.2,1.3,0.2,0,Iris-Setosa
3,4.6,3.1,1.5,0.2,0,Iris-Setosa
4,5.0,3.6,1.4,0.2,0,Iris-Setosa
5,5.4,3.9,1.7,0.4,0,Iris-Setosa
6,4.6,3.4,1.4,0.3,0,Iris-Setosa
7,5.0,3.4,1.5,0.2,0,Iris-Setosa
8,4.4,2.9,1.4,0.2,0,Iris-Setosa
9,4.9,3.1,1.5,0.1,0,Iris-Setosa
10,5.4,3.7,1.5,0.2,0,Iris-Setosa
11,4.8,3.4,1.6,0.2,0,Iris-Setosa
12,4.8,3.0,1.4,0.1,0,Iris-Setosa
13,4.3,3.0,1.1,0.1,0,Iris-Setosa
14,5.8,4.0,1.2,0.2,0,Iris-Setosa
15,5.7,4.4,1.5,0.4,0,Iris-Setosa
16,5.4,3.9,1.3,0.4,0,Iris-Setosa
17,5.1,3.5,1.4,0.3,0,Iris-Setosa
18,5.7,3.8,1.7,0.3,0,Iris-Setosa
19,5.1,3.8,1.5,0.3,0,Iris-Setosa
20,5.4,3.4,1.7,0.2,0,Iris-Setosa
21,5.1,3.7,1.5,0.4,0,Iris-Setosa
22,4.6,3.6,1.0,0.2,0,Iris-Setosa
23,5.1,3.3,1.7,0.5,0,Iris-Setosa
24,4.8,3.4,1.9,0.2,0,Iris-Setosa
25,5.0,3.0,1.6,0.2,0,Iris-Setosa
26,5.0,3.4,1.6,0.4,0,Iris-Setosa
27,5.2,3.5,1.5,0.2,0,Iris-Setosa
28,5.2,3.4,1.4,0.2,0,Iris-Setosa
29,4.7,3.2,1.6,0.2,0,Iris-Setosa
30,4.8,3.1,1.6,0.2,0,Iris-Setosa
31,5.4,3.4,1.5,0.4,0,Iris-Setosa
32,5.2,4.1,1.5,0.1,0,Iris-Setosa
33,5.5,4.2,1.4,0.2,0,Iris-Setosa
34,4.9,3.1,1.5,0.2,0,Iris-Setosa
35,5.0,3.2,1.2,0.2,0,Iris-Setosa
36,5.5,3.5,1.3,0.2,0,Iris-Setosa
37,4.9,3.6,1.4,0.1,0,Iris-Setosa
38,4.4,3.0,1.3,0.2,0,Iris-Setosa
39,5.1,3.4,1.5,0.2,0,Iris-Setosa
40,5.0,3.5,1.3,0.3,0,Iris-Setosa
41,4.5,2.3,1.3,0.3,0,Iris-Setosa
42,4.4,3.2,1.3,0.2,0,Iris-Setosa
43,5.0,3.5,1.6,0.6,0,Iris-Setosa
44,5.1,3.8,1.9,0.4,0,Iris-Setosa
45,4.8,3.0,1.4,0.3,0,Iris-Setosa
46,5.1,3.8,1.6,0.2,0,Iris-Setosa
47,4.6,3.2,1.4,0.2,0,Iris-Setosa
48,5.3,3.7,1.5,0.2,0,Iris-Setosa
49,5.0,3.3,1.4,0.2,0,Iris-Setosa
50,7.0,3.2,4.7,1.4,1,Iris-versicolor
51,6.4,3.2,4.5,1.5,1,Iris-versicolor
52,6.9,3.1,4.9,1.5,1,Iris-versicolor
